data,semana,tweets na semana,casos de covid na semana,cidade
16-06,26,0.14285714285714285,0.31086519114688127,Macapá
22-06,27,0.03571428571428571,0.3038229376257545,Macapá
29-06,28,1.0,1.0,Macapá
06-07,29,0.03571428571428571,0.6629778672032193,Macapá
13-07,30,0.03571428571428571,0.23138832997987926,Macapá
20-07,31,0.0,0.34004024144869216,Macapá
10-08,32,0.2857142857142857,0.272635814889336,Macapá
18-08,33,0.0,0.4869215291750503,Macapá
24-08,34,0.25,0.45875251509054327,Macapá
01-09,35,0.0,0.46378269617706236,Macapá
07-09,36,0.0,0.27062374245472837,Macapá
15-09,37,0.0,0.2454728370221328,Macapá
21-09,38,0.0,0.0,Macapá
16-06,26,0.0,0.20729684908789386,Araçatuba
22-06,27,0.14285714285714285,0.4427860696517413,Araçatuba
29-06,28,0.42857142857142855,0.38225538971807627,Araçatuba
06-07,29,1.0,1.0,Araçatuba
13-07,30,0.42857142857142855,0.5016583747927031,Araçatuba
20-07,31,0.0,0.4792703150912106,Araçatuba
10-08,32,0.0,0.30265339966832505,Araçatuba
18-08,33,0.0,0.27860696517412936,Araçatuba
24-08,34,0.0,0.12437810945273632,Araçatuba
01-09,35,0.14285714285714285,0.13018242122719734,Araçatuba
07-09,36,0.0,0.12023217247097844,Araçatuba
15-09,37,0.0,0.16086235489220563,Araçatuba
21-09,38,0.0,0.0,Araçatuba
16-06,26,0.0,0.0866089273817455,Macaé
22-06,27,0.0,0.47168554297135246,Macaé
29-06,28,0.0,0.3104596935376416,Macaé
06-07,29,1.0,1.0,Macaé
13-07,30,0.0,0.30712858094603596,Macaé
20-07,31,0.0,0.3397734843437708,Macaé
10-08,32,0.0,0.20919387075283144,Macaé
18-08,33,0.0,0.19853431045969352,Macaé
24-08,34,0.0,0.1518987341772152,Macaé
01-09,35,0.0,0.18454363757495004,Macaé
07-09,36,0.0,0.29513657561625584,Macaé
15-09,37,0.0,0.2145236508994004,Macaé
21-09,38,0.0,0.0,Macaé
