data,semana,tweets na semana,casos de covid na semana,cidade
22-06,26,1.0,1.0,Vitória
29-06,27,0.5714285714285714,0.9448818897637795,Vitória
06-07,28,0.8571428571428571,0.84251968503937,Vitória
13-07,29,0.5714285714285714,0.5174353205849269,Vitória
20-07,30,0.7142857142857143,0.9482564679415073,Vitória
10-08,31,0.0,0.8098987626546682,Vitória
18-08,32,0.14285714285714285,0.6287964004499438,Vitória
24-08,33,0.14285714285714285,0.5635545556805399,Vitória
01-09,34,0.14285714285714285,0.2879640044994376,Vitória
07-09,35,0.0,0.2778402699662542,Vitória
15-09,36,0.2857142857142857,0.28008998875140606,Vitória
21-09,37,0.0,0.3577052868391451,Vitória
22-06,26,0.5,0.0744818652849741,Hortolândia
29-06,27,0.5,0.16062176165803108,Hortolândia
06-07,28,0.0,0.09326424870466321,Hortolândia
13-07,29,1.0,0.35751295336787564,Hortolândia
20-07,30,1.0,1.0,Hortolândia
10-08,31,0.5,0.2623056994818653,Hortolândia
18-08,32,1.0,0.31541450777202074,Hortolândia
24-08,33,0.0,0.16904145077720206,Hortolândia
01-09,34,0.5,0.14637305699481865,Hortolândia
07-09,35,0.0,0.15220207253886012,Hortolândia
15-09,36,0.0,0.08484455958549222,Hortolândia
21-09,37,0.0,0.05893782383419689,Hortolândia
22-06,26,0.0,0.21033653846153846,Betim
29-06,27,0.0,0.5949519230769231,Betim
06-07,28,0.0,0.09375,Betim
13-07,29,0.0,0.7235576923076923,Betim
20-07,30,0.0,0.2776442307692308,Betim
10-08,31,0.0,0.609375,Betim
18-08,32,0.0,0.3701923076923077,Betim
24-08,33,1.0,1.0,Betim
01-09,34,0.0,0.23076923076923078,Betim
07-09,35,0.0,0.21875,Betim
15-09,36,0.0,0.5444711538461539,Betim
21-09,37,0.0,0.19110576923076922,Betim
22-06,26,0.0,0.14285714285714285,Duque de Caxias
29-06,27,0.0,0.10414394765539804,Duque de Caxias
06-07,28,0.0,0.08778625954198473,Duque de Caxias
13-07,29,1.0,1.0,Duque de Caxias
20-07,30,0.0,0.4765539803707743,Duque de Caxias
10-08,31,0.0,0.09214830970556162,Duque de Caxias
18-08,32,0.0,0.09541984732824428,Duque de Caxias
24-08,33,0.0,0.5092693565976009,Duque de Caxias
01-09,34,0.0,0.17938931297709923,Duque de Caxias
07-09,35,0.0,0.24318429661941113,Duque de Caxias
15-09,36,0.0,0.1390403489640131,Duque de Caxias
21-09,37,0.0,0.2099236641221374,Duque de Caxias
22-06,26,0.0,0.3645320197044335,Franco da Rocha
29-06,27,0.0,0.30049261083743845,Franco da Rocha
06-07,28,0.0,0.47783251231527096,Franco da Rocha
13-07,29,0.0,0.7241379310344828,Franco da Rocha
20-07,30,1.0,1.0,Franco da Rocha
10-08,31,0.0,0.8817733990147784,Franco da Rocha
18-08,32,0.0,0.6502463054187192,Franco da Rocha
24-08,33,0.0,0.5615763546798029,Franco da Rocha
01-09,34,0.0,0.4482758620689655,Franco da Rocha
07-09,35,0.0,0.645320197044335,Franco da Rocha
15-09,36,0.0,0.4482758620689655,Franco da Rocha
21-09,37,0.0,0.3694581280788177,Franco da Rocha
22-06,26,0.0,0.5514018691588785,Itapipoca
29-06,27,0.0,0.29906542056074764,Itapipoca
06-07,28,0.0,0.397196261682243,Itapipoca
13-07,29,1.0,1.0,Itapipoca
20-07,30,0.0,0.8364485981308412,Itapipoca
10-08,31,0.0,0.4158878504672897,Itapipoca
18-08,32,0.0,0.2383177570093458,Itapipoca
24-08,33,0.0,0.2757009345794392,Itapipoca
01-09,34,0.0,0.205607476635514,Itapipoca
07-09,35,0.0,0.3177570093457944,Itapipoca
15-09,36,0.0,0.06074766355140187,Itapipoca
21-09,37,0.0,0.09813084112149532,Itapipoca
22-06,26,0.6,0.8354978354978355,Patos de Minas
29-06,27,0.8,0.6017316017316018,Patos de Minas
06-07,28,0.6,0.683982683982684,Patos de Minas
13-07,29,1.0,1.0,Patos de Minas
20-07,30,0.4,0.37662337662337664,Patos de Minas
10-08,31,0.8,0.5627705627705628,Patos de Minas
18-08,32,0.0,0.23809523809523808,Patos de Minas
24-08,33,0.2,0.36796536796536794,Patos de Minas
01-09,34,0.4,0.4155844155844156,Patos de Minas
07-09,35,0.2,0.4329004329004329,Patos de Minas
15-09,36,0.0,0.30735930735930733,Patos de Minas
21-09,37,0.0,0.3203463203463203,Patos de Minas
22-06,26,0.0,0.0,Ituiutaba
29-06,27,0.0,0.05714285714285714,Ituiutaba
06-07,28,0.0,0.12678571428571428,Ituiutaba
13-07,29,0.0,0.1,Ituiutaba
20-07,30,0.0,0.0375,Ituiutaba
10-08,31,0.0,0.19285714285714287,Ituiutaba
18-08,32,0.0,0.4517857142857143,Ituiutaba
24-08,33,0.0,0.35535714285714287,Ituiutaba
01-09,34,0.0,0.55,Ituiutaba
07-09,35,1.0,1.0,Ituiutaba
15-09,36,0.5,0.8928571428571429,Ituiutaba
21-09,37,0.0,0.7285714285714285,Ituiutaba
