latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-19.92460663125,-43.925735225,13,11,10,13,15,15
-19.924014015384614,-43.92804727692307,13,11,10,13,15,15
-19.924815866666666,-43.931454988888895,13,11,10,13,15,15
-19.925584545454544,-43.931165945454545,13,11,10,13,15,15
-19.93534969444444,-43.92467583888889,13,8,2,10,9,14
-19.944271045,-43.957657725000004,7,15,14,15,10,11
-19.927889155555555,-43.94992382222222,11,6,8,6,12,11
-25.436083071428566,-49.24539837142857,15,12,6,8,12,2
-25.453076890909088,-49.23946705454546,5,4,4,3,6,6
-25.4372365,-49.27269968,13,15,15,15,15,12
-25.424116936363635,-49.26220799090909,7,15,15,15,15,13
-19.83394458333333,-40.36486650333333,2,2,1,3,2,1
-19.936479933333334,-44.06111145,15,15,15,15,15,15
-19.922876785714287,-43.9568658,15,15,10,13,14,5
-23.584358891666664,-46.65165850416667,10,15,15,13,14,7
-9.559158866666667,-35.77958375,11,11,9,13,10,11
-22.81080791,-43.18456079,9,1,5,4,8,4
-22.84212255555555,-43.23768332222223,9,7,5,7,2,1
-15.771472362499999,-47.873338175,4,15,15,15,14,15
-22.91070904,-43.2020141,10,15,13,9,13,14
-27.597136016,-48.517856412,13,15,13,12,13,15
-15.81408338,-47.90789926000001,15,13,10,13,13,9
-16.457860720000003,-54.643459699999994,2,5,2,1,2,6
-15.815270280000002,-48.095864539999994,15,15,13,15,15,15
-25.4218008,-49.29068935714286,15,13,11,15,14,15
-23.945323158333327,-46.33650735,4,11,11,2,2,6
-23.949714379999996,-46.33578412,8,13,11,6,1,12
-3.7287766888888894,-38.50522502222222,12,7,13,14,14,14
-20.318228778571427,-40.35707827857143,13,15,13,15,14,15
-20.319298078260868,-40.35380910000001,13,15,13,15,15,15
-20.316052405555556,-40.32225227777778,15,11,13,15,15,15
-23.556064563333333,-46.670649166666664,8,0,8,4,1,15
-20.31575976226415,-40.32231705849057,15,11,13,15,15,15
-20.299709859090907,-40.31829612272727,3,7,11,13,5,2
-20.308930646874998,-40.302122890625,6,5,8,12,12,3
-20.307780989999998,-40.29793215000001,5,7,8,13,12,2
-20.30559360625,-40.30256679375,4,8,9,14,11,2
-20.25521787,-40.27013925,13,12,10,12,14,15
-20.31594045454546,-40.289052818181815,10,3,9,13,14,12
-20.311538219999996,-40.29585508,8,5,8,15,15,12
-20.307888333333334,-40.29750672333333,5,7,8,13,12,2
-9.624355430000001,-35.73693244,9,6,12,11,9,5
-9.620591894999999,-35.737233825,8,4,6,6,6,5
-9.6577192,-35.73146706666666,15,14,15,15,15,15
-7.127230628571428,-34.87564364285714,13,11,15,12,10,6
-22.91608652,-43.22093118,3,4,0,0,9,5
-22.915817642857142,-43.21516920714286,3,4,0,0,9,5
-22.920281766666665,-43.21175558333334,4,12,3,0,7,6
-22.912817605263154,-43.203992394736844,10,15,13,9,13,14
-22.9007281,-43.27812154000001,13,15,13,15,13,15
-22.9112294,-43.29090476666667,8,5,11,4,4,7
-22.914164236,-43.283807616,8,5,8,6,3,6
-25.10425086153846,-50.16519179230771,15,15,15,15,15,6
-13.003195384615385,-38.524787653846154,15,15,15,15,8,10
-25.452457324999997,-49.26021958333334,8,6,9,7,15,12
-25.539893399999997,-49.19645553333334,15,15,15,13,13,15
-23.484461616666668,-46.72764058333333,15,15,15,15,13,15
-23.486794838888887,-46.72390016666667,15,14,15,15,8,11
-10.913755876923078,-37.09075736538462,11,15,13,13,15,15
-2.542138266666667,-44.21753972222222,12,15,15,7,10,15
-2.54162114,-44.21554002,14,15,15,7,10,15
-2.5381633999999997,-44.2055472,13,12,15,6,9,15
-2.5223741513513507,-44.24504357837837,15,15,15,15,15,15
-15.80080150909091,-47.889197145454546,6,15,15,15,13,15
-15.823989000000003,-47.89740115000001,15,13,11,12,13,14
-12.881359828571428,-38.31459778571429,3,2,2,0,3,4
-22.010945188888886,-47.89016791111111,15,15,15,15,15,13
-29.775974193333333,-51.14861187333333,14,15,13,8,13,15
-29.77803101666667,-51.14833965,14,15,13,9,13,15
-29.7763179,-51.14756814,14,15,13,8,13,15
-20.34438945,-40.296699312499996,15,14,15,12,15,11
-19.921052822222222,-43.9178981,15,15,10,15,15,15
-10.950173060000001,-37.06504094,7,12,9,7,7,5
-10.9293429,-37.0627802142857,11,11,9,7,5,6
-19.926667771428566,-43.95775847142857,14,14,10,11,11,7
-5.856996500000001,-35.2120446,15,15,15,15,15,14
-19.92271684,-43.9260869,15,15,10,15,15,15
-29.88634991,-51.165992870000004,3,5,2,5,3,3
-29.886426083333333,-51.165601900000006,3,5,2,5,3,3
-22.958851599999996,-43.17769772,6,12,6,13,15,13
-29.557978875,-51.592648987500006,0,0,2,2,0,0
-15.79227062,-47.94227624,13,15,9,15,15,8
-5.791182833333334,-35.19925155,13,13,11,15,10,15
-10.924364120000002,-37.05216626,13,13,13,13,13,12
-4.32107942,-40.708651380000006,1,2,2,0,0,1
-15.81480401111111,-47.91458605555556,13,13,13,9,8,11
-19.94853590434783,-43.91700293913044,15,0,0,7,10,14
-22.0089315875,-47.90058801666667,15,15,15,15,15,13
-22.011211967441863,-47.90127235116279,15,15,15,15,15,13
-20.644999009523808,-40.47615388571428,2,6,5,8,3,4
-19.958998654545454,-43.91296234545455,14,7,7,5,7,8
-22.86533316,-43.3744881,7,15,12,5,10,7
-28.848381475,-51.885565549999995,1,3,1,2,0,1
-15.24934252857143,-40.25419924285713,2,2,5,5,1,0
-29.472093852941175,-51.81205704705882,3,1,4,3,4,8
-12.259428272727273,-38.96491318181819,13,10,14,5,15,15
