name,geom,key,value
Pontifícia Universidade Católica de Minas Gerais,"POLYGON ((-43.9931126 -19.9262697, -43.9934843 -19.9259737, -43.9946578 -19.9250389, -43.9946675 -19.9250312, -43.9952456 -19.9245716, -43.9953226 -19.9245099, -43.9957643 -19.9241582, -43.9958625 -19.9239372, -43.9959295 -19.923597, -43.9958691 -19.9233884, -43.9954205 -19.921838, -43.9954451 -19.9213961, -43.9955065 -19.9206964, -43.993972 -19.9188795, -43.9935423 -19.9184622, -43.9923515 -19.9177502, -43.9916764 -19.91872, -43.9904365 -19.9201317, -43.9888529 -19.921482, -43.9907662 -19.9236539, -43.992509 -19.9255913, -43.9931126 -19.9262697))",amenity,university
Universidade Federal do Paraná Campus Centro Politécnico,"POLYGON ((-49.2364377 -25.4502574, -49.2358038 -25.4494923, -49.2355848 -25.4494716, -49.2353903 -25.449362, -49.2352636 -25.4492265, -49.235207 -25.4490768, -49.2351934 -25.4489892, -49.2351822 -25.4489171, -49.2352065 -25.448779, -49.2352462 -25.4486894, -49.2350686 -25.4482762, -49.2346075 -25.446932, -49.2341708 -25.4456423, -49.2339409 -25.4450146, -49.2335905 -25.4446003, -49.2335407 -25.4445639, -49.2334897 -25.4445385, -49.2334423 -25.4445261, -49.2333981 -25.4445223, -49.2333534 -25.4445231, -49.233306 -25.4445331, -49.233249 -25.4445509, -49.2332186 -25.4445617, -49.2331769 -25.4445945, -49.2331151 -25.4446424, -49.2310981 -25.447155, -49.230981 -25.4473128, -49.2308376 -25.4474939, -49.2303868 -25.4480293, -49.2302916 -25.4481378, -49.2302505 -25.4482091, -49.2302367 -25.4482909, -49.2302392 -25.4483567, -49.2304095 -25.44882, -49.2304871 -25.4489839, -49.2304016 -25.4490226, -49.2303393 -25.4489416, -49.2303017 -25.4489175, -49.2302754 -25.4489043, -49.2302479 -25.4488981, -49.2302168 -25.4488946, -49.2302084 -25.4488984, -49.2301966 -25.4489196, -49.2301822 -25.4489576, -49.2301642 -25.4490395, -49.230031 -25.4497476, -49.2300065 -25.4499893, -49.2299358 -25.4502832, -49.2298732 -25.4506766, -49.2298403 -25.4508899, -49.2298394 -25.4510286, -49.2298432 -25.4511333, -49.2298632 -25.4512459, -49.2299758 -25.4516832, -49.2298975 -25.4517479, -49.2300027 -25.4521792, -49.2300262 -25.4522772, -49.2302165 -25.4523499, -49.2303097 -25.4523365, -49.2304383 -25.4524071, -49.2306203 -25.4525053, -49.2308334 -25.4526283, -49.2308908 -25.4526636, -49.2309973 -25.4526363, -49.2315788 -25.4529366, -49.231599 -25.452947, -49.2317261 -25.4529054, -49.231744 -25.4529083, -49.2317651 -25.4529172, -49.2317916 -25.45293, -49.2318886 -25.4529876, -49.2322701 -25.4532351, -49.232316 -25.4532659, -49.232348 -25.4533018, -49.2326019 -25.4538727, -49.2329467 -25.4537456, -49.2329773 -25.4537295, -49.2329939 -25.4537185, -49.2330094 -25.4537008, -49.2330019 -25.4536802, -49.2328768 -25.4535752, -49.2329606 -25.4534932, -49.2335957 -25.453966, -49.2339304 -25.4546712, -49.234351 -25.4545317, -49.2358633 -25.4552877, -49.23534 -25.4560782, -49.2352804 -25.4561649, -49.2346638 -25.4562695, -49.235428 -25.45676, -49.236949 -25.4577364, -49.2370388 -25.4576052, -49.2388543 -25.4549512, -49.2369632 -25.4538218, -49.2383822 -25.4519627, -49.2375589 -25.4516208, -49.2369727 -25.4509908, -49.2368076 -25.4507745, -49.2366495 -25.4505448, -49.2364377 -25.4502574))",amenity,university
Colégio,"POLYGON ((-49.2676336 -25.4236061, -49.2665731 -25.4227073, -49.2653573 -25.423223, -49.2643291 -25.4235703, -49.2659319 -25.4250789, -49.2660286 -25.4248796, -49.2660941 -25.424768, -49.2661791 -25.4246739, -49.2676336 -25.4236061))",amenity,university
Universidade Federal do Paraná Prédio Histórico,"POLYGON ((-49.2680224 -25.4288347, -49.2678187 -25.4287542, -49.2677097 -25.4287112, -49.2676142 -25.4286734, -49.2675961 -25.4287109, -49.2675777 -25.4287037, -49.2675122 -25.4288388, -49.2675306 -25.4288461, -49.2675161 -25.428876, -49.2675154 -25.4288774, -49.2674971 -25.4288701, -49.2674428 -25.4288487, -49.2673154 -25.4291116, -49.2673718 -25.4291339, -49.2674182 -25.4291522, -49.267412 -25.4291651, -49.2673838 -25.4291539, -49.267366 -25.4291908, -49.2673477 -25.4291836, -49.2672816 -25.4293201, -49.2672998 -25.4293273, -49.2672844 -25.4293593, -49.267362 -25.42939, -49.2675104 -25.4294486, -49.2676906 -25.4295198, -49.2678063 -25.4292808, -49.2680224 -25.4288347))",amenity,university
Pontifícia Universidade Católica do Paraná PUCPR,"POLYGON ((-49.2530485 -25.448838, -49.25098 -25.448435, -49.2511061 -25.4481615, -49.2512203 -25.4479622, -49.251266 -25.4477166, -49.2507983 -25.447628, -49.2503534 -25.4475437, -49.2501732 -25.448032, -49.2498556 -25.4479312, -49.2487987 -25.4494222, -49.2486763 -25.4495509, -49.2486025 -25.4496285, -49.2486797 -25.4499308, -49.2486977 -25.4502395, -49.2487083 -25.4504213, -49.2494984 -25.4504632, -49.2497526 -25.4504966, -49.2494681 -25.4517787, -49.2494435 -25.4523685, -49.2497885 -25.4534424, -49.2499241 -25.454366, -49.2500597 -25.4544717, -49.2500658 -25.4549891, -49.2499426 -25.4556401, -49.2500104 -25.4561186, -49.2495847 -25.4563818, -49.249229 -25.4564408, -49.2491029 -25.4566483, -49.2491518 -25.4567698, -49.2493822 -25.4573939, -49.2497748 -25.4580332, -49.2499176 -25.457886, -49.2503616 -25.4571222, -49.2503231 -25.4571032, -49.2493791 -25.4566543, -49.2494201 -25.4566065, -49.2495021 -25.4564915, -49.2498003 -25.4564888, -49.2503769 -25.4563142, -49.2508897 -25.4561601, -49.2522177 -25.4536426, -49.2522782 -25.4535522, -49.2523478 -25.4534481, -49.252386 -25.4533874, -49.2525267 -25.4531544, -49.2526039 -25.4529635, -49.2527356 -25.4515471, -49.2528528 -25.450532, -49.2530387 -25.4489232, -49.2530485 -25.448838))",amenity,university
Informática,"POLYGON ((-51.1202559 -30.0683064, -51.1203354 -30.0682724, -51.1203595 -30.0682621, -51.1204457 -30.0682253, -51.1204456 -30.068225, -51.1204833 -30.0682912, -51.1205189 -30.0683536, -51.1205549 -30.0684166, -51.1205911 -30.0684802, -51.1206448 -30.0685742, -51.1206497 -30.0685828, -51.1206622 -30.0686047, -51.1206745 -30.0686263, -51.1206862 -30.0686468, -51.1206862 -30.0686469, -51.1206986 -30.0686691, -51.1207103 -30.0686901, -51.1207345 -30.0687314, -51.1206858 -30.068753, -51.120649 -30.0687693, -51.1206492 -30.0687692, -51.1206254 -30.0687791, -51.1205447 -30.0688128, -51.1205446 -30.0688125, -51.1205086 -30.0687493, -51.1204721 -30.0686853, -51.1204556 -30.0686564, -51.1204004 -30.0685598, -51.1203652 -30.0684979, -51.120329 -30.0684346, -51.1202934 -30.0683721, -51.1202559 -30.0683064))",amenity,university
A3,"POLYGON ((-43.9648937 -19.9707867, -43.9647649 -19.9708825, -43.9646567 -19.9707689, -43.9645825 -19.9706909, -43.9647113 -19.970595, -43.9648937 -19.9707867))",amenity,university
Pontifícia Universidade Católica - Contagem,"POLYGON ((-44.0766012 -19.9433878, -44.0750455 -19.9454351, -44.074949 -19.9454351, -44.0747988 -19.9439626, -44.0748953 -19.9436702, -44.0759575 -19.9413707, -44.0760433 -19.9410883, -44.0760862 -19.9406849, -44.0757751 -19.9387283, -44.0758341 -19.9385719, -44.0760862 -19.9382441, -44.0765798 -19.9376692, -44.0768104 -19.9374121, -44.0768694 -19.9374423, -44.0768587 -19.9375987, -44.0768587 -19.9379819, -44.0769553 -19.938577, -44.0770089 -19.9389905, -44.0770304 -19.9394141, -44.0770089 -19.9396864, -44.0763759 -19.9413304, -44.0763222 -19.9416329, -44.0766549 -19.9426515, -44.0767085 -19.9428633, -44.0766656 -19.943176, -44.0766012 -19.9433878))",amenity,university
CEFET-MG - Campus II,"POLYGON ((-43.9981198 -19.9381736, -43.9980772 -19.9386169, -43.9980044 -19.939373, -43.9979481 -19.9399587, -43.9985597 -19.9403017, -44.0007162 -19.9397872, -44.0004265 -19.9390005, -44.0003916 -19.9388738, -44.0005029 -19.9387082, -44.0002869 -19.9385391, -43.9999084 -19.9383592, -43.9994057 -19.9381821, -43.9993878 -19.9381796, -43.9989888 -19.9381231, -43.9985597 -19.9381231, -43.9981198 -19.9381736))",amenity,university
Estácio de Sá,"POLYGON ((-43.9603811 -19.9218237, -43.9607137 -19.9229937, -43.959555 -19.9233014, -43.9595232 -19.9231884, -43.9594982 -19.9230993, -43.9594726 -19.9230079, -43.9594488 -19.9229235, -43.959428 -19.9228495, -43.9594005 -19.9227513, -43.9593745 -19.9226588, -43.959352 -19.9225788, -43.9593281 -19.9224939, -43.9593035 -19.9224062, -43.9592769 -19.9223114, -43.9592541 -19.9222302, -43.9592277 -19.9221364, -43.9603811 -19.9218237))",amenity,university
