name,geom,key,value
Aeroporto de Tefé,POINT (-64.7237464 -3.3793825),aeroway,aerodrome
Aeroporto de Fonte Boa,POINT (-66.0815386 -2.5306954),aeroway,aerodrome
Aeroporto Juscelino Kubitschek,POINT (-46.7820804 -1.0452552),aeroway,aerodrome
Aeroporto de Porto Nacional,POINT (-48.3996255 -10.7160318),aeroway,aerodrome
Aeroporto de Palmas – Brigadeiro Lysias Rodrigues,POINT (-48.3573915 -10.2946022),aeroway,aerodrome
,POINT (-48.1132637 -5.6845862),aeroway,aerodrome
Aeroporto de Pacaraima,POINT (-61.1644215 4.4907549),aeroway,aerodrome
Pista de Pouso de Campo Largo,POINT (-49.5257209 -25.4263511),aeroway,aerodrome
Boca do Acre,POINT (-67.3117106 -8.833192499999999),aeroway,aerodrome
Jacareacanga,POINT (-57.7758461 -6.2349144),aeroway,aerodrome
Molocopote,POINT (-54.1333427 1.6003124),aeroway,aerodrome
Aeroporto Internacional Augusto Severo,POINT (-35.2477 -5.9114),aeroway,aerodrome
Aeroporto de Rio Quente,POINT (-48.7582083 -17.7652164),aeroway,aerodrome
Aeroporto de Ilhéus - Jorge Amado,POINT (-39.0315338 -14.8152586),aeroway,aerodrome
,POINT (-68.5455451 0.1235176),aeroway,aerodrome
,POINT (-68.259218 -6.4136303),aeroway,aerodrome
Aeroclube de Alagoas,POINT (-35.7541519 -9.584853600000001),aeroway,aerodrome
,POINT (-50.5921927 -17.8244296),aeroway,aerodrome
,POINT (-51.1569174 -18.5747144),aeroway,aerodrome
,POINT (-49.6846728 -25.520097),aeroway,aerodrome
Marechal Thaumaturgo,POINT (-72.7821589 -8.9568555),aeroway,aerodrome
Aeroporto de Ponta Grossa (Santana Comandante Antonio Amilton Beraldo),POINT (-50.142065 -25.1881397),aeroway,aerodrome
Maestro Wilson Fonseca,POINT (-54.7864644 -2.424673),aeroway,aerodrome
,POINT (-42.8283407 -22.9199436),aeroway,aerodrome
Aeroporto de Porto Seguro,POINT (-39.0806731 -16.4409772),aeroway,aerodrome
Sitio de Voo Tatamborá,POINT (-45.4463997 -23.8875008),aeroway,aerodrome
Aeródromo Fazenda Romaria,POINT (-47.558252 -18.8723546),aeroway,aerodrome
Aeródromo Fazenda Fenix,POINT (-41.9955559 -20.7794437),aeroway,aerodrome
Aeródromo de Janaúba,POINT (-43.319436 -15.7331715),aeroway,aerodrome
Amapá,POINT (-50.8582001 2.0775101),aeroway,aerodrome
Aeroporto de Alta Floresta,POINT (-56.1051153 -9.872302400000001),aeroway,aerodrome
Aeroporto Internacional de Cabo Frio,POINT (-42.0793358 -22.9251764),aeroway,aerodrome
Aeroporto Bartolomeu Lisandro,POINT (-41.3017006 -21.6982994),aeroway,aerodrome
Aeroporto de Guajará-Mirim,POINT (-65.2810755 -10.7879314),aeroway,aerodrome
Aeroporto de Itacoatiara,POINT (-58.4829472 -3.1255233),aeroway,aerodrome
Aeroporto,POINT (-43.8964005 -19.6616001),aeroway,aerodrome
Aeroporto Estadual de Marília,POINT (-49.9271711 -22.1971847),aeroway,aerodrome
Aeroporto de Manicoré,POINT (-61.2783012 -5.8113799),aeroway,aerodrome
Aeroporto Internacional de Rio Branco - Plácido de Castro,POINT (-67.8962418 -9.8685031),aeroway,aerodrome
Santa Cruz,POINT (-43.7165494 -22.9293174),aeroway,aerodrome
Base Aérea de Santos,POINT (-46.2997208 -23.9280567),aeroway,aerodrome
Base de Aviação de Taubaté,POINT (-45.5165385 -23.0379986),aeroway,aerodrome
Aeródromo Hotel Transamérica,POINT (-38.9990005 -15.3551998),aeroway,aerodrome
Aeroporto Municipal de Tarauacá José Galera dos Santos,POINT (-70.7833023 -8.1552601),aeroway,aerodrome
Tiriós,POINT (-55.9460983 2.22347),aeroway,aerodrome
Aeroporto Internacional de Tabatinga,POINT (-69.9357986 -4.2556701),aeroway,aerodrome
Aeroporto Terravista,POINT (-39.1133771 -16.5352992),aeroway,aerodrome
Aeroporto de Iauaretê,POINT (-69.1867374 0.606395),aeroway,aerodrome
Campo Fontenelle,POINT (-47.3419156 -21.9857963),aeroway,aerodrome
Everaldo Moras Barreto,POINT (-51.0964927 -21.6972042),aeroway,aerodrome
Aeroporto Municipal de São Pedro,POINT (-47.8954283 -22.5815138),aeroway,aerodrome
Aeroporto de Angra dos Reis,POINT (-44.3070984 -22.9752998),aeroway,aerodrome
Fazenda Santo Ângelo,POINT (-48.2577782 -22.2455559),aeroway,aerodrome
