name,geom,key,value
Santa Casa,"POLYGON ((-43.9258641 -19.9240594, -43.9256891 -19.9243383, -43.9257728 -19.9243847, -43.9255809 -19.9246905, -43.9250985 -19.9248221, -43.925226 -19.9252354, -43.925201 -19.9253154, -43.9253652 -19.9254065, -43.9258551 -19.9246261, -43.9261357 -19.9247818, -43.9262028 -19.9246748, -43.9259419 -19.92453, -43.9260487 -19.9243598, -43.9259127 -19.9242844, -43.926005 -19.9241375, -43.9258641 -19.9240594))",amenity,hospital
Hospital das Clínicas São Vicente de Paulo,"POLYGON ((-43.9276778 -19.9238342, -43.9277891 -19.9237094, -43.9280973 -19.9239523, -43.9282588 -19.9237711, -43.9283942 -19.9238778, -43.9282735 -19.9240132, -43.92833 -19.9240578, -43.9281866 -19.9242187, -43.9281435 -19.9241848, -43.9279692 -19.9243804, -43.9278255 -19.9242671, -43.9279913 -19.9240812, -43.9276778 -19.9238342))",amenity,hospital
Hospital Infantil João Paulo II,"POLYGON ((-43.9316827 -19.9244773, -43.9318428 -19.9251483, -43.9314173 -19.925238, -43.9313432 -19.9249276, -43.9315079 -19.9248928, -43.9314728 -19.9247456, -43.9310982 -19.9248246, -43.9310473 -19.9246113, -43.9316827 -19.9244773))",amenity,hospital
Hospital de Pronto Socorro João XXIII,"POLYGON ((-43.9314749 -19.925456, -43.9308375 -19.9250975, -43.9307657 -19.9252103, -43.9306964 -19.9251713, -43.9303633 -19.9256947, -43.9313804 -19.9262669, -43.931579 -19.9259549, -43.9313822 -19.9258442, -43.9314924 -19.9256711, -43.9313787 -19.9256071, -43.9314749 -19.925456))",amenity,hospital
Lifecenter,"POLYGON ((-43.9247276 -19.9355465, -43.9246089 -19.9356746, -43.9245018 -19.9355684, -43.9246801 -19.9353948, -43.9246452 -19.9352491, -43.9243315 -19.9353332, -43.9243009 -19.9351878, -43.9246291 -19.9350998, -43.924606 -19.9349905, -43.924712 -19.9351145, -43.9247682 -19.9350898, -43.9248173 -19.9352273, -43.9247817 -19.9352454, -43.9248275 -19.9353838, -43.924885 -19.9354457, -43.9248364 -19.9355017, -43.9247783 -19.9356951, -43.9247276 -19.9355465))",amenity,hospital
Hospital Madre Tereza,"POLYGON ((-43.9574381 -19.943991, -43.9571492 -19.9440393, -43.957135 -19.9439413, -43.9570158 -19.9439639, -43.9571029 -19.9446184, -43.9572448 -19.9445958, -43.9573057 -19.9449252, -43.9579148 -19.9448471, -43.9579149 -19.9448013, -43.9580354 -19.9447818, -43.9580283 -19.9446656, -43.9582442 -19.9446274, -43.9581062 -19.9441934, -43.9580034 -19.9442161, -43.9579656 -19.9440352, -43.9577819 -19.944063, -43.9578553 -19.9438503, -43.957902 -19.9436161, -43.9575729 -19.9436577, -43.9574381 -19.943991))",amenity,hospital
Hospital Mater Dei Santo Agostinho,"POLYGON ((-43.9494316 -19.9278174, -43.9504629 -19.9275876, -43.9505324 -19.9278635, -43.9501958 -19.9279385, -43.9501742 -19.9278529, -43.9497738 -19.9279422, -43.9498031 -19.9280587, -43.949509 -19.9281242, -43.9494316 -19.9278174))",amenity,hospital
Hospital Cajuru,"POLYGON ((-49.2458909 -25.4364321, -49.2459356 -25.4354959, -49.2451111 -25.4354328, -49.2449964 -25.435424, -49.2447312 -25.4367321, -49.2452325 -25.4366325, -49.2458909 -25.4364321))",amenity,hospital
Hospital Erasto Gaertner,"POLYGON ((-49.24044 -25.4525856, -49.2404931 -25.4526125, -49.240496 -25.4526566, -49.2401982 -25.4531204, -49.2399411 -25.4533495, -49.2393967 -25.4541837, -49.2388543 -25.4549512, -49.2369632 -25.4538218, -49.2383822 -25.4519627, -49.2385328 -25.4520162, -49.24044 -25.4525856))",amenity,hospital
Hospital Santa Casa de Misericórdia,"POLYGON ((-49.2732891 -25.4367821, -49.272493 -25.4364769, -49.2718155 -25.4379181, -49.2726117 -25.4382233, -49.2732891 -25.4367821))",amenity,hospital
Hospital de Clínicas da UFPR,"POLYGON ((-49.2611899 -25.4248027, -49.2618499 -25.4234944, -49.2623196 -25.4236703, -49.2626052 -25.4234749, -49.2627202 -25.4235904, -49.2628087 -25.4236244, -49.2627103 -25.4238283, -49.2626156 -25.4240111, -49.2622218 -25.4248234, -49.2620568 -25.4251637, -49.2611899 -25.4248027))",amenity,hospital
Pronto Atendimento Oswaldo Lanschi,"POLYGON ((-40.3649923 -19.8341648, -40.3650284 -19.8340129, -40.3650397 -19.8340153, -40.3650476 -19.8339821, -40.3650378 -19.8339801, -40.3650523 -19.8339187, -40.3650714 -19.8339226, -40.36508 -19.8338861, -40.3650623 -19.8338824, -40.3650787 -19.8338123, -40.364983 -19.8337926, -40.3649916 -19.8337553, -40.3647589 -19.8337074, -40.3647509 -19.8337415, -40.3646799 -19.833727, -40.3645716 -19.833779, -40.3645217 -19.8339737, -40.3645841 -19.8339879, -40.3645705 -19.8340406, -40.3646853 -19.8340669, -40.3646798 -19.8340882, -40.3647163 -19.8340966, -40.3647902 -19.8338119, -40.3648191 -19.8338185, -40.3647444 -19.8341058, -40.3648772 -19.8341363, -40.3649363 -19.8339098, -40.3649556 -19.8339138, -40.3648959 -19.8341426, -40.3649923 -19.8341648))",amenity,hospital
