name,geom,key,value
Estádio Jornalista Felipe Drummond,"POLYGON ((-43.9733466 -19.8622409, -43.9733032 -19.8623203, -43.9732485 -19.8623932, -43.9731835 -19.8624583, -43.9731095 -19.8625142, -43.973028 -19.8625599, -43.9729405 -19.8625945, -43.9728487 -19.8626173, -43.9727544 -19.8626279, -43.9726595 -19.862626, -43.9725658 -19.8626117, -43.9724752 -19.8625853, -43.9723893 -19.8625473, -43.9723099 -19.8624984, -43.9722385 -19.8624395, -43.9721765 -19.862372, -43.972125 -19.8622969, -43.9720852 -19.8622159, -43.9720578 -19.8621304, -43.9720433 -19.8620422, -43.972042 -19.8619529, -43.9720539 -19.8618644, -43.9720788 -19.8617782, -43.9721162 -19.8616962, -43.9721654 -19.8616198, -43.9722254 -19.8615506, -43.9722951 -19.86149, -43.972373 -19.861439, -43.9724577 -19.8613988, -43.9725476 -19.86137, -43.9726408 -19.8613533, -43.9727357 -19.861349, -43.9728302 -19.8613571, -43.9729226 -19.8613775, -43.9730111 -19.8614098, -43.9730939 -19.8614533, -43.9731695 -19.8615073, -43.9732364 -19.8615707, -43.9732933 -19.8616422, -43.973339 -19.8617204, -43.9733727 -19.8618039, -43.9733937 -19.8618909, -43.9734016 -19.8619799, -43.9733963 -19.862069, -43.9733778 -19.8621566, -43.9733466 -19.8622409))",leisure,stadium
Estádio do SESI,"POLYGON ((-38.5877126 -3.7099076, -38.5870213 -3.7100526, -38.5868392 -3.7100084, -38.5864432 -3.7096236, -38.5867346 -3.7086815, -38.5868764 -3.7087252, -38.5869807 -3.7083893, -38.5879201 -3.7092326, -38.5877126 -3.7099076))",leisure,stadium
Estádio Major Antônio Couto Pereira,"POLYGON ((-49.2609845 -25.4218835, -49.2602529 -25.421691, -49.2599906 -25.4218563, -49.2597551 -25.4219854, -49.2594554 -25.4225874, -49.2586523 -25.4218443, -49.2582213 -25.421529, -49.258315 -25.4213063, -49.2584298 -25.4212552, -49.2584207 -25.4210763, -49.2597525 -25.4201584, -49.2601301 -25.4201729, -49.2603476 -25.4203535, -49.2607368 -25.4207192, -49.2612782 -25.4212168, -49.2609845 -25.4218835))",leisure,stadium
Complexo Poliesportivo Pinheirão,"POLYGON ((-49.2194588 -25.4301981, -49.2190593 -25.4302453, -49.2187232 -25.4303595, -49.2186281 -25.4305561, -49.2184696 -25.4309492, -49.2183745 -25.431298, -49.2183745 -25.4316974, -49.2184949 -25.4320335, -49.2187422 -25.4324647, -49.2189119 -25.4323307, -49.2192483 -25.4325342, -49.2196688 -25.4324816, -49.2197683 -25.4325698, -49.2201921 -25.4321408, -49.2202383 -25.431853, -49.2203737 -25.431837, -49.2207154 -25.4318685, -49.2207795 -25.431503, -49.2206849 -25.4310379, -49.2203791 -25.4306557, -49.2201087 -25.4304408, -49.2198185 -25.4302482, -49.2194588 -25.4301981))",leisure,stadium
Estádio Marcos José Campagnaro,"POLYGON ((-40.3672863 -19.8297428, -40.3666724 -19.8296133, -40.3668932 -19.8286871, -40.3675071 -19.8288166, -40.3672863 -19.8297428))",leisure,stadium
Estádio Senador João Câmara,"POLYGON ((-35.2021961 -5.775807, -35.2015248 -5.7759974, -35.2014449 -5.7768671, -35.2021819 -5.7770263, -35.2021961 -5.775807))",leisure,stadium
Estádio Caio Martins,"POLYGON ((-43.10698 -22.9016804, -43.1068291 -22.9018236, -43.1067344 -22.9019129, -43.1066947 -22.9019623, -43.1061281 -22.9014433, -43.1048075 -22.9003371, -43.1054987 -22.8995021, -43.105679 -22.8995045, -43.1081669 -22.9017581, -43.107614 -22.9022497, -43.1074641 -22.9021196, -43.10698 -22.9016804))",leisure,stadium
Estádio Municipal Aílton de Oliveira,"POLYGON ((-44.0890508 -19.7641898, -44.0881679 -19.7635912, -44.0880623 -19.7635997, -44.0879536 -19.7636781, -44.0877348 -19.7639074, -44.0875514 -19.764198, -44.0875392 -19.7643159, -44.0875587 -19.7643764, -44.0878513 -19.764582, -44.0878256 -19.7646149, -44.0881477 -19.7648376, -44.0881698 -19.7648093, -44.088412 -19.7649749, -44.0884881 -19.7650161, -44.0885614 -19.7650144, -44.0886112 -19.7649742, -44.0889078 -19.7646818, -44.0890881 -19.7643783, -44.0891299 -19.7642693, -44.0890508 -19.7641898))",leisure,stadium
Parque Aquático Júlio Delamare,"POLYGON ((-43.2277419 -22.9129066, -43.2278875 -22.9127923, -43.2279449 -22.9128578, -43.2283302 -22.9125903, -43.2282625 -22.9124997, -43.2284299 -22.9123685, -43.2278846 -22.9117785, -43.2277077 -22.9119172, -43.2276811 -22.911888, -43.2273162 -22.9121742, -43.2273526 -22.9122137, -43.2272068 -22.9123281, -43.2277419 -22.9129066))",leisure,stadium
Estádio Raimundo Sampaio (Arena Independência),"POLYGON ((-43.9186334 -19.9078155, -43.9185355 -19.90783, -43.9184086 -19.9078487, -43.9180387 -19.9079033, -43.91746 -19.9079888, -43.9171937 -19.9080281, -43.9168344 -19.9080812, -43.9167268 -19.908097, -43.9168121 -19.9086082, -43.9168378 -19.908762, -43.9167362 -19.9087769, -43.9168096 -19.9092161, -43.9169329 -19.9091979, -43.9169588 -19.9093527, -43.9171412 -19.9093258, -43.917398 -19.9092879, -43.9177416 -19.9092372, -43.918355 -19.9091466, -43.9185242 -19.9091216, -43.9186598 -19.9091016, -43.9188437 -19.9090744, -43.9188739 -19.90907, -43.9189055 -19.9090653, -43.9186953 -19.9078064, -43.9186624 -19.9078112, -43.9186334 -19.9078155))",leisure,stadium
