name,geom,key,value
Praça de Serviços da UFMG,"POLYGON ((-43.9651502 -19.8679574, -43.9651666 -19.8680029, -43.965164 -19.868051, -43.9651428 -19.8680948, -43.965106 -19.8681282, -43.9650586 -19.8681465, -43.9650075 -19.8681471, -43.9649596 -19.86813, -43.9644549 -19.867848, -43.9643099 -19.8680865, -43.9644632 -19.8681795, -43.9647254 -19.8683383, -43.9648435 -19.8683803, -43.964917 -19.8683796, -43.9649494 -19.8683769, -43.9651332 -19.8683614, -43.9651604 -19.8683591, -43.9652111 -19.8683296, -43.9652584 -19.8683021, -43.9653073 -19.8682611, -43.9653286 -19.8682418, -43.9653688 -19.8681745, -43.9653981 -19.8680847, -43.9654045 -19.8679827, -43.965383 -19.8678967, -43.9653721 -19.8678677, -43.9653192 -19.8678194, -43.9653068 -19.8677296, -43.9650182 -19.8673955, -43.9648725 -19.8673624, -43.9648895 -19.8676382, -43.9651502 -19.8679574))",shop,mall
BH Shopping,"POLYGON ((-43.9451997 -19.9736153, -43.9451581 -19.9735144, -43.9445696 -19.9732884, -43.9443389 -19.9731998, -43.9442549 -19.9731974, -43.944179 -19.9732203, -43.9441312 -19.9732406, -43.9440084 -19.9733391, -43.9436996 -19.9739912, -43.9435375 -19.9743336, -43.9436919 -19.9749273, -43.9443864 -19.9752122, -43.9445467 -19.9751647, -43.9461614 -19.975883, -43.9462979 -19.9755625, -43.9458538 -19.9743339, -43.9456627 -19.9738053, -43.9451997 -19.9736153))",shop,mall
Diamond Mall,"POLYGON ((-43.9467005 -19.927875, -43.946909 -19.9285924, -43.9470907 -19.9287033, -43.9478024 -19.9285197, -43.9478979 -19.9283739, -43.947671 -19.9275864, -43.9475129 -19.9275361, -43.9468092 -19.9277094, -43.9467005 -19.927875))",shop,mall
Shopping Center Norte,"POLYGON ((-46.620995 -23.5134747, -46.6209805 -23.5140635, -46.6209429 -23.5142578, -46.6208847 -23.5144531, -46.620821 -23.5146007, -46.6207413 -23.5147492, -46.6203572 -23.5152657, -46.618899 -23.5171173, -46.6187742 -23.5174198, -46.6186973 -23.5176879, -46.618626 -23.5178179, -46.6185241 -23.5179194, -46.6184002 -23.5179779, -46.6182732 -23.5180149, -46.6178835 -23.5180794, -46.6166934 -23.5170706, -46.6166219 -23.516987, -46.6165834 -23.5169041, -46.61637 -23.5148565, -46.6162552 -23.5137544, -46.6162455 -23.5134192, -46.6187625 -23.513449, -46.620995 -23.5134747))",shop,mall
Shopping Metrô Tatuapé,"POLYGON ((-46.5765647 -23.5420271, -46.5766666 -23.5420473, -46.5769249 -23.5420985, -46.5769295 -23.542076, -46.5769481 -23.5420909, -46.5769636 -23.5420998, -46.5769944 -23.5421088, -46.5770095 -23.5421101, -46.5770223 -23.5421094, -46.5770396 -23.5421054, -46.5770689 -23.542093, -46.5770839 -23.5420837, -46.5770969 -23.5420707, -46.5771066 -23.542051, -46.5771119 -23.5420375, -46.5771171 -23.5420209, -46.5771222 -23.5420007, -46.577123 -23.5419898, -46.5771237 -23.5419864, -46.5772245 -23.5420068, -46.5772314 -23.5419763, -46.5772742 -23.5419839, -46.5772811 -23.5419466, -46.5775861 -23.5420052, -46.5775797 -23.542039, -46.5776144 -23.5420453, -46.5775897 -23.5421566, -46.5776234 -23.5421631, -46.5776153 -23.5421978, -46.5779317 -23.5422592, -46.5779376 -23.5422259, -46.5779756 -23.5422303, -46.5781087 -23.54166, -46.5780708 -23.5416533, -46.57808 -23.5416192, -46.5773837 -23.5414822, -46.5773772 -23.5415203, -46.577338 -23.5415113, -46.5773298 -23.5415461, -46.5772905 -23.541537, -46.5772839 -23.5415747, -46.5770975 -23.5415363, -46.5771044 -23.5414983, -46.5770654 -23.5414914, -46.577074 -23.5414565, -46.5770349 -23.5414493, -46.5770435 -23.5414122, -46.5765036 -23.5413075, -46.5764964 -23.5413428, -46.5764569 -23.5413343, -46.5764495 -23.5413705, -46.5764103 -23.5413618, -46.5764027 -23.5414, -46.5762131 -23.5413611, -46.5762219 -23.5413236, -46.5761856 -23.5413169, -46.5761931 -23.5412822, -46.5761541 -23.5412762, -46.5761628 -23.5412389, -46.5755448 -23.5411169, -46.5755366 -23.5411518, -46.575503 -23.5411451, -46.5753684 -23.5417143, -46.5754097 -23.5417216, -46.5754016 -23.5417568, -46.5756283 -23.5418022, -46.5756369 -23.5417687, -46.5756772 -23.5417761, -46.5757016 -23.5416684, -46.5757413 -23.5416765, -46.5757484 -23.54164, -46.5760526 -23.5417015, -46.5760442 -23.5417367, -46.5760843 -23.5417444, -46.5760766 -23.541779, -46.5761736 -23.541797, -46.5761632 -23.5418572, -46.5761666 -23.5418845, -46.576175 -23.5419081, -46.5761813 -23.5419185, -46.5761872 -23.5419269, -46.5761968 -23.5419367, -46.5762085 -23.5419451, -46.5762192 -23.5419505, -46.5762318 -23.541955, -46.5762489 -23.5419603, -46.5762598 -23.5419619, -46.5762723 -23.5419614, -46.5762842 -23.5419604, -46.5762961 -23.5419571, -46.5763036 -23.5419545, -46.5763129 -23.5419516, -46.5763066 -23.5419759, -46.5765647 -23.5420271))",shop,mall
Shopping Boulevard Tatuape,"POLYGON ((-46.5770016 -23.5385694, -46.5756369 -23.5386481, -46.5756771 -23.5393976, -46.5770692 -23.539348, -46.5770016 -23.5385694))",shop,mall
Itaú Power Shopping,"POLYGON ((-44.0206259 -19.9465255, -44.0225618 -19.9456228, -44.0226215 -19.9455949, -44.0226935 -19.9467654, -44.0226359 -19.9468086, -44.0226839 -19.9468613, -44.0226098 -19.9468972, -44.02254 -19.9468949, -44.0225058 -19.9469229, -44.0224185 -19.9469284, -44.0218767 -19.9469946, -44.0218876 -19.9470916, -44.0209473 -19.9471492, -44.0206259 -19.9465255))",shop,mall
Polloshop Alto da XV,"POLYGON ((-49.2482897 -25.4259482, -49.247691 -25.4259759, -49.2475779 -25.4248656, -49.2475409 -25.424503, -49.2479207 -25.4244986, -49.2480754 -25.4248214, -49.2481696 -25.425018, -49.2482478 -25.425394, -49.2482897 -25.4259482))",shop,mall
Bay Market,"POLYGON ((-43.1251322 -22.8923567, -43.1243716 -22.8923845, -43.1242604 -22.8922793, -43.1242398 -22.8917249, -43.1243928 -22.8917204, -43.1250308 -22.8917018, -43.1250611 -22.8917009, -43.1251018 -22.8916997, -43.1251106 -22.8916994, -43.1251189 -22.8919386, -43.1251322 -22.8923567))",shop,mall
Plaza Shopping,"POLYGON ((-43.1233807 -22.8962023, -43.1231004 -22.8962453, -43.1231767 -22.8966982, -43.123207 -22.896878, -43.1232409 -22.8970792, -43.123278 -22.8972509, -43.1231654 -22.89735, -43.1237662 -22.8977261, -43.1238987 -22.8975681, -43.1240658 -22.8976695, -43.1241176 -22.8975983, -43.1241774 -22.897626, -43.1242946 -22.8974722, -43.1245444 -22.8971443, -43.1244208 -22.8970254, -43.1244586 -22.8969583, -43.1245861 -22.8967378, -43.1246234 -22.8966885, -43.1244369 -22.8964484, -43.1243881 -22.8963857, -43.1242561 -22.8961943, -43.1242139 -22.896147, -43.124145 -22.8961123, -43.1237009 -22.8961646, -43.1233807 -22.8962023))",shop,mall
