latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06
-19.92460663125,-43.925735225,0,0,0,0,0,0
-19.924014015384614,-43.92804727692307,0,0,0,0,0,0
-19.924815866666666,-43.931454988888895,0,0,0,0,0,0
-19.925584545454544,-43.931165945454545,0,0,0,0,0,0
-19.93534969444444,-43.92467583888889,0,0,0,0,0,0
-19.944271045,-43.957657725000004,0,0,0,0,0,0
-19.927889155555555,-43.94992382222222,0,0,0,0,0,0
-25.436083071428566,-49.24539837142857,0,0,0,0,0,0
-25.453076890909088,-49.23946705454546,0,0,0,0,0,0
-25.4372365,-49.27269968,0,0,0,0,0,0
-25.424116936363635,-49.26220799090909,0,1,0,0,0,0
-19.83394458333333,-40.36486650333333,0,0,0,0,0,0
-19.936479933333334,-44.06111145,0,0,0,0,0,0
-19.922876785714287,-43.9568658,0,0,0,1,0,0
-23.584358891666664,-46.65165850416667,0,0,0,0,1,0
-9.559158866666667,-35.77958375,0,0,0,0,0,0
-22.81080791,-43.18456079,0,0,0,0,0,0
-22.84212255555555,-43.23768332222223,0,0,0,0,0,0
-15.771472362499999,-47.873338175,1,0,0,0,0,0
-22.91070904,-43.2020141,0,0,0,0,0,0
-27.597136016,-48.517856412,0,0,0,0,0,0
-15.81408338,-47.90789926000001,0,0,1,0,0,0
-16.457860720000003,-54.643459699999994,0,0,0,0,0,0
-15.815270280000002,-48.095864539999994,1,0,0,0,0,0
-25.4218008,-49.29068935714286,0,0,0,0,0,1
-23.945323158333327,-46.33650735,0,0,0,0,0,0
-23.949714379999996,-46.33578412,0,0,0,0,0,0
-3.7287766888888894,-38.50522502222222,0,0,0,0,0,0
-20.318228778571427,-40.35707827857143,0,0,0,0,0,0
-20.319298078260868,-40.35380910000001,0,0,0,0,0,0
-20.316052405555556,-40.32225227777778,0,1,0,0,1,0
-23.556064563333333,-46.670649166666664,0,0,0,0,0,0
-20.31575976226415,-40.32231705849057,0,1,0,0,1,0
-20.299709859090907,-40.31829612272727,0,0,0,0,0,0
-20.308930646874998,-40.302122890625,0,0,0,0,0,0
-20.307780989999998,-40.29793215000001,0,0,0,0,0,0
-20.30559360625,-40.30256679375,0,0,0,0,0,0
-20.25521787,-40.27013925,0,0,0,0,0,0
-20.31594045454546,-40.289052818181815,0,0,0,0,0,0
-20.311538219999996,-40.29585508,0,0,0,0,0,0
