latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06,10-08,18-08,24-08,01-09,07-09,15-09,21-09,City
-19.92460663125,-43.925735225,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-19.924014015384614,-43.928047276923074,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-19.924815866666666,-43.9314549888889,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-19.925584545454548,-43.93116594545455,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-19.93534969444444,-43.924675838888895,0,0,0,0,0,0,1,0,1,0,0,0,0,Indeterminado
-19.944271045,-43.957657725,1,2,0,0,0,0,0,0,0,0,0,0,0,Belo Horizonte
-19.927889155555555,-43.949923822222225,0,0,0,1,0,0,0,0,0,0,0,0,0,Belo Horizonte
-25.43608307142857,-49.245398371428564,0,0,0,0,0,0,0,0,0,0,0,0,0,Curitiba
-25.45307689090909,-49.23946705454546,0,0,1,0,0,1,0,0,0,0,0,0,0,Curitiba
-25.437236499999997,-49.27269968,0,1,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-25.424116936363635,-49.26220799090909,1,2,0,0,0,0,0,0,0,0,0,0,0,Curitiba
-19.833944583333327,-40.36486650333333,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-19.93647993333333,-44.06111145,0,0,1,0,0,0,0,0,0,1,0,0,0,Indeterminado
-19.92287678571429,-43.9568658,0,0,0,1,0,0,0,0,0,0,0,0,0,Belo Horizonte
-23.584358891666664,-46.65165850416667,0,0,0,0,1,0,0,0,0,0,0,1,0,São Paulo
-9.559158866666667,-35.77958375,2,0,0,1,0,1,0,1,0,0,0,0,0,Maceió
-22.81080791,-43.18456079,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.842122555555548,-43.237683322222225,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-15.7714723625,-47.873338175,2,1,0,0,0,1,0,0,0,0,0,0,1,Plano Piloto
-22.91070904,-43.2020141,0,0,0,1,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-27.597136016,-48.517856412,1,0,0,0,0,0,0,0,0,0,0,0,0,Florianópolis
-15.81408338,-47.90789926000001,0,0,1,0,0,1,0,0,0,0,0,0,0,Plano Piloto
-16.457860720000006,-54.6434597,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.815270280000002,-48.09586454,2,0,1,0,0,1,1,0,0,0,0,0,0,Ceilândia
-25.4218008,-49.29068935714286,0,1,0,0,0,1,0,0,1,0,0,0,0,Curitiba
-23.94532315833333,-46.33650735,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos
-23.94971438,-46.33578412,0,0,0,0,1,0,0,0,0,0,3,0,0,Santos
-3.72877668888889,-38.50522502222222,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-20.318228778571427,-40.35707827857143,0,0,0,0,0,1,0,0,0,0,0,0,0,Vitória
-20.319298078260868,-40.35380910000001,0,0,0,0,0,1,0,0,0,0,0,0,0,Vitória
-20.31605240555556,-40.32225227777778,1,1,0,1,1,1,0,0,0,0,0,0,0,Indeterminado
-23.55606456333333,-46.670649166666664,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo
-20.31575976226415,-40.32231705849057,1,1,0,1,1,1,0,0,0,0,0,0,0,Indeterminado
-20.299709859090907,-40.318296122727276,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-20.308930646875,-40.302122890625,1,0,0,0,1,0,0,0,0,0,0,0,0,Vitória
-20.30778099,-40.29793215000001,1,0,0,0,1,0,0,0,0,0,0,0,0,Vitória
-20.30559360625,-40.30256679375,1,0,0,0,1,0,0,0,0,0,0,0,0,Vitória
-20.25521787,-40.27013925,0,0,0,2,0,1,0,1,0,0,0,0,0,Vitória
-20.31594045454546,-40.28905281818181,1,0,0,0,1,0,0,0,1,0,0,0,0,Vitória
-20.31153822,-40.29585508,1,0,0,0,1,0,0,0,0,0,0,0,0,Vitória
-20.30788833333333,-40.29750672333333,1,0,0,0,1,0,0,0,0,0,0,0,0,Indeterminado
-9.62435543,-35.73693244,2,1,2,0,1,0,1,0,1,0,0,0,0,Maceió
-9.620591895,-35.737233825,2,1,2,0,1,0,1,0,0,0,0,0,0,Maceió
-9.657719199999999,-35.73146706666665,0,0,1,1,1,3,0,0,0,0,0,0,0,Indeterminado
-7.127230628571428,-34.87564364285714,0,0,0,0,0,1,0,0,0,0,0,0,0,João Pessoa
-22.91608652,-43.22093118,0,1,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.915817642857146,-43.21516920714286,0,1,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.920281766666665,-43.21175558333334,0,1,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.912817605263157,-43.20399239473685,0,0,0,1,0,0,0,0,0,0,0,0,0,Indeterminado
-22.900728100000002,-43.27812154000001,0,0,2,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.9112294,-43.29090476666667,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.914164235999998,-43.283807616000004,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-25.104250861538464,-50.16519179230771,0,0,0,0,0,0,0,0,0,0,1,1,0,Ponta Grossa
-13.003195384615385,-38.524787653846154,0,1,1,0,2,0,0,0,1,0,0,0,1,Salvador
-25.452457325,-49.26021958333334,0,0,1,0,0,0,0,0,0,0,0,0,0,Curitiba
-25.5398934,-49.19645553333334,0,1,0,0,2,0,1,0,0,0,2,0,0,Indeterminado
-23.48446161666667,-46.72764058333333,1,0,2,0,0,0,0,1,0,0,0,0,0,São Paulo
-23.486794838888887,-46.72390016666667,1,1,0,0,0,0,0,1,0,0,0,0,0,São Paulo
-10.913755876923076,-37.09075736538462,0,0,0,1,1,1,1,0,1,1,0,0,0,Aracaju
-2.542138266666667,-44.21753972222222,0,0,1,0,0,0,0,1,0,0,0,0,0,São Luís
-2.54162114,-44.21554002,0,0,2,0,0,0,0,1,0,0,0,0,0,São Luís
-2.5381634,-44.2055472,0,0,2,0,0,0,0,1,0,0,0,0,0,Indeterminado
-2.5223741513513507,-44.245043578378365,0,0,0,0,0,1,0,0,0,0,1,0,0,São Luís
-15.80080150909091,-47.88919714545455,0,0,2,0,1,0,0,0,0,0,0,0,0,Plano Piloto
-15.823989000000005,-47.89740115000001,0,0,0,1,0,2,0,1,0,1,0,0,0,Plano Piloto
-12.881359828571426,-38.31459778571429,0,0,0,0,0,0,0,0,0,0,0,0,0,Lauro de Freitas
-22.01094518888889,-47.89016791111111,1,1,0,0,0,0,0,0,0,0,0,0,0,São Carlos
-29.77597419333333,-51.14861187333333,0,0,1,0,0,0,0,1,0,0,0,0,0,São Leopoldo
-29.77803101666667,-51.14833965,1,0,1,0,0,0,0,1,0,0,0,0,0,São Leopoldo
-29.7763179,-51.14756814,0,0,1,0,0,0,0,1,0,0,0,0,0,São Leopoldo
-20.34438945,-40.2966993125,0,0,1,1,1,1,1,0,1,0,0,0,0,Vila Velha
-19.921052822222226,-43.9178981,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-10.95017306,-37.06504094,0,1,0,0,1,2,0,1,0,0,0,0,0,Aracaju
-10.9293429,-37.0627802142857,0,0,0,0,1,1,0,0,0,0,0,0,0,Aracaju
-19.926667771428566,-43.95775847142857,0,0,1,2,0,0,0,0,0,0,0,0,0,Belo Horizonte
-5.856996500000001,-35.2120446,0,0,1,1,0,0,0,0,1,1,0,0,0,Natal
-19.92271684,-43.9260869,0,1,0,0,0,0,1,0,1,0,0,0,0,Belo Horizonte
-29.88634991,-51.16599287,0,0,0,0,0,0,0,0,0,0,0,0,0,Canoas
-29.88642608333333,-51.16560190000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Canoas
-22.9588516,-43.17769772,0,0,0,0,0,0,2,0,0,0,0,0,0,Rio de Janeiro
-29.557978875,-51.59264898750001,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.79227062,-47.94227624,1,0,1,0,0,0,1,0,0,0,0,0,0,Indeterminado
-5.791182833333334,-35.19925155,1,0,0,1,1,0,0,0,1,0,0,0,0,Natal
